,,,DM_n,DM_mean,DM_std,DM_statistics
E_ABRTW-1,sRMLE,AR Flx Logit,9136.0,3.339635115358516e-05,3.539122849711752e-06,9.435819209427994
E_ABRTW-1,sRMLE,RLS,9136.0,-0.00015576763149823198,5.1111793698144486e-05,-3.0474200778175313
E_ABRTW-1,sRMLE,sRLS,9136.0,0.00023622507772458364,2.4309756126504976e-05,9.716763421508572
E_ABRTW-1,sRMLE,RMLE,9136.0,0.00021933409512960576,1.2927009136760305e-05,16.966189831286535
E_ABRTW-1,sRMLE,sRMLE,0.0,1.0,1.0,0.0
E_ABRTW-1,sRMLE,Bayes,9136.0,0.00013487831194792044,9.202480793857637e-06,14.65593170724899
E_ABRTW-1,sRMLE,Ada Bayes,9136.0,0.0001469049409713455,8.976437820800736e-06,16.3647210385779
E_ABRTW-1,Bayes,Persistent,9137.0,-0.0013907028766829736,6.821833000061957e-05,-20.38494304642074
E_ABRTW-1,Bayes,AR Logit Default,9137.0,-0.0005901460527884823,2.861950159626542e-05,-20.619288411417113
E_ABRTW-1,Bayes,AR Flx Logit,9137.0,-0.00010147090769550362,6.371869392477349e-06,-15.923953952340648
E_ABRTW-1,Bayes,RLS,9137.0,-0.00029061418698951347,5.088495441975712e-05,-5.7108881538156915
E_ABRTW-1,Bayes,sRLS,9137.0,0.00010135406658403503,1.7812157202671448e-05,5.689850977931442
E_ABRTW-1,Bayes,RMLE,9136.0,8.445578318168528e-05,1.018692777307366e-05,8.290150160505323
E_ABRTW-1,Bayes,sRMLE,9136.0,-0.00013487831194792044,9.202480793857637e-06,-14.65593170724899
E_ABRTW-1,Bayes,Bayes,0.0,1.0,1.0,0.0
E_ABRTW-1,Bayes,Ada Bayes,9136.0,1.2026629023425045e-05,4.399790704422972e-06,2.73330519867838
E_ABRTW-1,Ada Bayes,Persistent,9136.0,-0.0014025491496654587,6.820788105642381e-05,-20.56173518906701
E_ABRTW-1,Ada Bayes,AR Logit Default,9136.0,-0.0006023134299502512,2.863807025897012e-05,-21.030762892322162
E_ABRTW-1,Ada Bayes,AR Flx Logit,9136.0,-0.00011350858981776033,6.85630802854976e-06,-16.554445485104086
E_ABRTW-1,Ada Bayes,RLS,9136.0,-0.00030267257246957747,5.027991169429842e-05,-6.0194220114522885
E_ABRTW-1,Ada Bayes,sRLS,9136.0,8.932013675323813e-05,1.722065849283943e-05,5.186517594284314
E_ABRTW-1,Ada Bayes,RMLE,9136.0,7.242915415826026e-05,9.517487519404702e-06,7.6096963573467
E_ABRTW-1,Ada Bayes,sRMLE,9136.0,-0.0001469049409713455,8.976437820800736e-06,-16.3647210385779
E_ABRTW-1,Ada Bayes,Bayes,9136.0,-1.2026629023425045e-05,4.399790704422972e-06,-2.73330519867838
E_ABRTW-1,Ada Bayes,Ada Bayes,0.0,1.0,1.0,0.0
E_ASHWW-1,Persistent,Persistent,0.0,1.0,1.0,0.0
E_ASHWW-1,Persistent,AR Logit Default,9983.0,0.00163121442172582,0.00010480148282299799,15.564023295596002
E_ASHWW-1,Persistent,AR Flx Logit,9983.0,0.0018485317777462724,9.097308181609642e-05,20.31852889389345
E_ASHWW-1,Persistent,RLS,9983.0,0.0015618224716463446,0.00010827918129673295,14.423310435859937
E_ASHWW-1,Persistent,sRLS,9983.0,0.0017949773033836035,9.711709428419305e-05,18.481683504477605
E_ASHWW-1,Persistent,RMLE,9982.0,0.001881249441629833,9.041286823041186e-05,20.806277292152195
E_ASHWW-1,Persistent,sRMLE,9982.0,0.0018474368566454816,9.080493725361278e-05,20.34409550614154
E_ASHWW-1,Persistent,Bayes,9983.0,0.0019736232043154967,8.94487482335233e-05,22.063185808758284
E_ASHWW-1,Persistent,Ada Bayes,9982.0,0.0020712788841995115,8.788866162487766e-05,23.56589681325005
E_ASHWW-1,AR Logit Default,Persistent,9983.0,-0.00163121442172582,0.00010480148282299799,-15.564023295596002
E_ASHWW-1,AR Logit Default,AR Logit Default,0.0,1.0,1.0,0.0
